"ITTER107","Territory","TIPO_DATO5","Data type","AGRI_MADRE","Type of crop","TIME","Select time","Value","Flag Codes","Flags"
"ITF12","Teramo","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2011","2011",1066,,
"ITF12","Teramo","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2012","2012",1095,,
"ITF12","Teramo","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2013","2013",1125,,
"ITF12","Teramo","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2014","2014",1050,,
"ITF12","Teramo","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2015","2015",1000,,
"ITE12","Lucca","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2010","2010",120,,
"ITE12","Lucca","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2011","2011",144,,
"ITE12","Lucca","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2012","2012",125,,
"ITE12","Lucca","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2013","2013",78,,
"ITE12","Lucca","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2014","2014",68,,
"ITE12","Lucca","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2015","2015",71,"e","estimate data"
"ITE33","Macerata","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2010","2010",10177,,
"ITE33","Macerata","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2011","2011",10511,,
"ITE33","Macerata","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2012","2012",6395,,
"ITE33","Macerata","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2013","2013",3610,,
"ITE33","Macerata","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2014","2014",11382,,
"ITE33","Macerata","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2015","2015",8809,,
"ITE13","Pistoia","ART","total area - hectares","SOYA","soya beans","2010","2010",3,,
"ITE13","Pistoia","ART","total area - hectares","SOYA","soya beans","2011","2011",3,,
"ITE13","Pistoia","ART","total area - hectares","SOYA","soya beans","2012","2012",3,,
"ITE13","Pistoia","ART","total area - hectares","SOYA","soya beans","2013","2013",3,,
"ITE13","Pistoia","ART","total area - hectares","SOYA","soya beans","2014","2014",4,,
"ITE13","Pistoia","ART","total area - hectares","SOYA","soya beans","2015","2015",4,"e","estimate data"
"ITF1","Abruzzo","ART","total area - hectares","SOYA","soya beans","2010","2010",107,,
"ITF1","Abruzzo","ART","total area - hectares","SOYA","soya beans","2011","2011",109,,
"ITF1","Abruzzo","ART","total area - hectares","SOYA","soya beans","2012","2012",105,,
"ITF1","Abruzzo","ART","total area - hectares","SOYA","soya beans","2013","2013",107,,
"ITF1","Abruzzo","ART","total area - hectares","SOYA","soya beans","2014","2014",111,,
"ITF1","Abruzzo","ART","total area - hectares","SOYA","soya beans","2015","2015",106,,
"ITE3","Marche","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2010","2010",16197,,
"ITE3","Marche","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2011","2011",15722,,
"ITE3","Marche","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2012","2012",9212,,
"ITE3","Marche","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2013","2013",5903,,
"ITE3","Marche","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2014","2014",12812,,
"ITE3","Marche","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2015","2015",13714,,
"ITE31","Pesaro e Urbino","ART","total area - hectares","SOYA","soya beans","2010","2010",150,,
"ITE31","Pesaro e Urbino","ART","total area - hectares","SOYA","soya beans","2011","2011",120,,
"ITE31","Pesaro e Urbino","ART","total area - hectares","SOYA","soya beans","2012","2012",80,,
"ITE31","Pesaro e Urbino","ART","total area - hectares","SOYA","soya beans","2013","2013",13,,
